,imdb_id,title,mpaa_rating,runtime,genre,star_rating
7460,tt5471184,Jeongsa,NaN,92 min,"Drama, Romance",5.7
7461,tt1609168,Vinnaithaandi Varuvaayaa,PG-13,157 min,"Drama, Romance",8.0
7462,tt2597242,At the Devil's Door,Not Rated,91 min,Horror,4.8
7463,tt3778010,Dead Awake,Not Rated,99 min,"Horror, Thriller",4.6
7464,tt5792472,Take the 10,NaN,80 min,Comedy,4.8
7465,tt3908826,Deadly Crush,NaN,85 min,"Horror, Thriller",6.3
7466,tt8179944,This Is Our Home,NaN,73 min,"Horror, Romance",3.3
7467,tt5081606,Deuces,TV-MA,87 min,"Action, Crime, Drama",5.9
7468,tt7493366,Halloween Pussy Trap Kill! Kill!,Not Rated,86 min,"Crime, Horror, Musical",3.2
7469,tt4991112,They Remain,TV-MA,102 min,Thriller,4.2
7470,tt4359416,Taxi,Not Rated,82 min,"Comedy, Drama",7.3
7471,tt3302654,Jane Wants a Boyfriend,R,101 min,"Comedy, Drama, Romance",6.8
7472,tt3032282,Eden,R,90 min,"Drama, Thriller",4.7
7473,tt8987922,Dachra,NaN,113 min,Horror,6.9
